建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,總價元
133.85,3,2,2,13600000
74.08,0,2,1,19700000
109.87,3,2,2,12550000
50.02,1,1,1,9800000
81.38,3,2,2,15800000
23.01,0,0,0,3150000
0,0,0,0,3322200
129.84,3,2,2,17000000
156.72,3,2,2,27230000
279.71,4,2,2,28200000
60.01,1,0,1,9929998
121.77,3,1,2,7100000
70.77,1,1,1,13000000
125.98,0,0,0,19500000
72.41,3,2,2,20060000
116.54,2,2,1,16800000
9.81,0,0,0,880000
51.58,1,1,1,9000000
14.36,0,0,0,380000
128.2,0,0,0,52500000
1358.67,0,0,0,200213000
426.31,0,0,0,97000000
141.11,4,2,2,33500000
30.55,1,1,1,9820000
151.52,2,2,2,29400000
165.45,2,2,1,21750000
81.34,1,1,1,16000000
86.86,2,1,1,20000000
79.83,2,2,2,15200000
84.8,3,2,1,12100000
123.51,7,0,7,15500000
30.89,1,0,1,7200000
74.38,4,2,2,13380000
673.89,0,0,0,86450530
99.02,3,1,2,15000000
41.24,1,1,1,5480000
121.44,3,2,2,12200000
0,0,0,0,52944726
0,0,0,0,52055274
195.03,3,2,2,24100000
278.54,2,2,3,51360000
141.87,2,2,2,23000000
35.05,2,1,2,12250000
38.76,0,0,0,2500000
0,0,0,0,460000
72.59,3,1,1,10560000
26.98,1,1,1,2242249
53.4,1,1,1,1595465
151.32,3,2,2,21000000
206.15,4,2,2,48000000
80.21,1,2,1,19200000
96.44,3,2,2,13600000
76.15,1,1,1,13000000
0,0,0,0,1500000
77.33,2,2,1,17000000
0,0,0,0,5750000
115.84,3,2,2,13500000
118.55,3,2,2,20880000
93.89,3,2,2,8000000
34.8,1,1,1,6600000
109.61,4,1,1,30000000
0,0,0,0,6786000
101.84,6,2,2,12700000
0,0,0,0,190800
501.2,5,2,4,120000000
80.72,2,2,1,16000000
0,0,0,0,696950
54.97,3,2,2,12600000
106.55,3,2,2,15000000
120.56,2,2,1,18860000
77.51,3,2,1,11880000
48.44,1,1,1,13280000
126.75,3,2,2,18000000
91.32,3,2,1,16000000
0,0,0,0,7728000
38.12,1,1,1,10560000
112.29,0,2,1,39000000
311.54,5,2,3,39500000
77.22,2,2,2,20000000
43.76,1,1,1,11650000
310.29,0,0,0,163000000
161.96,2,2,2,20000000
96.32,3,1,2,10880000
35.11,0,0,0,1650000
72.79,2,2,1,12500000
53.08,1,1,1,5200000
185.04,4,2,2,60880000
0,0,0,0,32400000
37.55,1,1,1,9630000
124.85,3,2,2,20800000
119.15,3,2,2,20200000
32.3,0,0,0,2000000
208.29,4,2,1,55000000
0,0,0,0,1720000
89.61,2,2,2,16900000
86.23,1,1,1,15000000
65.73,0,0,0,23780000
66.19,0,0,0,23970000
269.54,4,2,2,43270000
157.31,3,2,2,26000000
126.58,2,2,1,19980000
2459.84,0,0,0,2200000
87.49,3,1,1,18000000
56.44,3,1,1,13500000
139.17,2,2,2,11100000
123.38,3,1,2,20880000
141.39,3,2,2,19500000
33.77,0,0,0,5300000
66.64,0,0,0,10680000
88.37,3,2,1,13000000
119.26,3,2,2,18000000
34.12,1,1,1,5300000
306.23,3,2,2,74600000
138,4,2,2,13050000
110.34,3,2,2,15450000
142.37,3,2,2,32300000
557.89,4,2,3,121869800
191.25,4,2,2,44000000
89.31,2,1,1,14860000
78.8,1,1,1,13800000
106.69,4,2,2,11800000
33.08,1,1,1,2500000
176.25,3,2,2,33200000
2.78,0,0,0,1000000
115.15,3,2,2,25000000
305.62,0,0,1,84618000
69.16,2,1,1,7900000
88.73,2,2,1,13350000
0,0,0,0,55341
97.9,2,2,1,12200000
242.96,4,2,2,33380000
58.85,2,1,1,8800000
132.11,2,2,1,16500000
68.54,1,2,1,18800000
83.28,3,1,1,7500000
70.16,3,1,2,9980000
66.81,3,2,1,7100000
45.96,1,1,1,5820000
212.32,4,2,3,60000000
159.67,3,2,2,29880000
97.23,3,2,2,12400000
122.07,3,2,2,21480000
88.36,2,2,1,15500000
41.75,1,1,1,9700000
55.26,1,1,1,7950000
94.02,3,2,1,20750000
117.34,3,2,2,16300000
0,0,0,0,4161608
0,0,0,0,4161608
429.46,0,0,0,114348500
90.78,0,0,0,6400000
0,0,0,0,2115000
0,0,0,0,806319
0,0,0,0,2520381
423.04,4,4,4,76880000
19.67,0,1,0,19000000
197.7,3,2,2,34000000
52.1,0,0,0,14000000
45.68,1,1,1,6000000
66.93,2,2,2,13100000
103.58,3,2,2,18500000
83.18,2,1,1,22000000
176.19,3,2,2,38880000
172.18,3,2,2,43380000
87.29,0,0,0,29800000
140.01,2,1,1,31700000
294.38,2,2,2,53000000
146.28,0,0,0,33900000
104.23,3,1,2,7600000
102.62,0,0,0,24980000
97.77,2,2,1,19990000
110.17,0,0,0,23530000
83.19,2,1,1,21000000
59.01,2,1,1,11500000
29.5,1,1,1,7300000
62.03,1,1,1,13500000
67.65,3,2,1,9600000
77.78,1,1,1,14120000
55.26,1,1,1,9500000
122.5,3,2,2,23000000
95.43,3,2,2,14500000
415.11,3,2,4,146600000
457.64,4,2,3,90000000
112.57,3,2,2,5200000
313.66,4,2,2,42800000
95.33,2,2,1,13250000
65.98,3,1,1,7350000
50.58,0,0,0,8000000
0,0,0,0,72101400
0,0,0,0,58600000
52.36,0,0,0,6440000
95.15,1,1,1,12890000
114.62,2,2,1,14650000
64.58,3,2,1,11000000
195.25,3,2,2,38450000
143.62,2,2,1,26000000
84.04,4,2,2,22280000
89.91,2,2,1,13600000
163.11,4,2,2,12400000
67.97,4,0,4,19000000
81.7,1,1,1,12880000
81.7,1,1,1,12880000
120.01,0,0,0,22637000
195.76,0,0,0,31363000
0,0,0,0,2840831
101.71,2,1,0,28000000
250.81,3,2,2,27500000
38.68,1,1,1,10000000
59.21,2,2,1,10000000
139.28,4,2,2,18000000
47.01,1,1,1,8900000
0,0,0,0,8000000
0,0,0,0,3000000
65.53,3,2,1,5000000
69.94,3,2,1,17000000
15.28,4,2,1,14660000
123.16,3,1,1,8400000
510.21,68,1,5,76000000
105.72,3,1,1,22385000
72.91,2,2,1,17250000
122.34,3,2,2,26800000
107.65,2,1,1,18380000
0,0,0,0,190800
0,0,0,0,5370000
72.01,2,1,1,15500000
95.18,3,2,2,17500000
43.29,1,1,1,8600000
126.68,2,2,1,20000000
114.3,3,2,2,18180000
88.05,3,2,2,24080000
119.23,3,2,2,26000000
383.39,3,2,2,69300000
81.17,3,2,1,14960000
173.07,3,3,3,14500000
84.94,3,3,2,14000000
242.63,4,2,2,41300000
81.91,1,1,1,20000000
102.79,2,2,2,15600000
342.66,0,0,0,82500000
62.26,0,0,0,50000000
148.73,3,2,2,46560000
125.82,3,2,2,25000000
191.23,3,2,2,46600000
107.63,2,2,2,19680000
287.8,5,0,0,76000000
0,0,0,0,3943367
0,0,0,0,64264302
0,0,0,0,31552290
0,0,0,0,17045490
170.85,0,0,0,63800000
163.11,4,2,2,37000000
0,0,0,0,808110
287.62,4,2,4,67580000
330.99,3,2,3,62680000
0,0,0,0,620000
91.4,3,2,2,17000000
83.25,3,2,1,6770500
195.89,2,1,2,24700000
29.14,0,0,0,1450000
0,0,0,0,2130579
121.59,3,2,2,21200000
143.49,3,2,2,25500000
0,0,0,0,36631
48.35,2,1,2,16000000
26.5,0,0,0,2650000
56.45,0,1,1,26770000
149.05,4,2,2,26500000
233.16,3,2,3,42500000
233.16,3,2,3,42000000
38.23,1,1,1,5300000
37.7,1,1,1,6600000
199.81,0,0,0,33000000
64.47,1,1,1,14460000
45.07,2,1,1,8700000
319.88,3,2,3,69670000
362.24,3,2,3,68850000
30.79,0,0,0,1420000
0.11,0,0,0,850000
29.9,1,1,1,4750000
84.7,2,2,1,12200000
31.27,1,1,1,4250000
234.48,3,2,3,49200000
169.28,0,0,0,27660000
67.89,2,2,1,9550000
139.15,3,2,2,23000000
596.01,5,2,4,72000000
18.42,0,0,0,900000
330.47,0,0,0,94360000
184.72,3,2,2,22660164
0,0,0,0,30000000
164.11,2,2,2,27500000
33.48,1,1,1,6900000
33.65,1,0,1,3650000
94.3,3,2,1,12500000
0,0,0,0,33603960
0,0,0,0,2584920
0,0,0,0,1292460
102.02,0,2,1,17900000
39.04,1,1,1,11300000
117.76,4,2,2,14400000
0,0,0,0,2604832
0,0,0,0,338337
0,0,0,0,3392928
0,0,0,0,1196800
81.16,2,2,1,16000000
86.63,3,2,1,10000000
98.8,3,4,4,10100000
103.42,3,2,1,12060000
160.93,3,2,2,20000000
120.78,3,2,2,12200000
80.28,2,1,1,9600000
74.95,1,1,1,16800000
35.46,0,1,1,7800000
147.19,3,2,2,35580000
175.8,4,2,2,23000000
641.22,8,2,5,66250460
334.45,3,2,2,30518200
180.18,3,2,2,24500000
55.33,3,2,1,10600000
55.19,0,0,0,2700000
0,0,0,0,800000
99.06,3,2,2,5200000
78.23,2,2,1,11500000
414.53,4,2,3,132100000
443.13,4,2,3,135100000
444.59,4,2,3,135200000
80.48,2,1,1,15000000
185.58,3,2,2,14800000
185.6,4,2,2,14700000
91.39,3,2,2,11000000
155.69,3,2,2,23180000
314.07,3,2,3,65680000
88.23,2,2,1,10880000
161.96,2,2,2,28580000
159.34,3,2,2,26100000
126.91,3,2,2,20000000
40.03,1,1,1,8750000
0,0,0,0,500000
172.1,3,2,2,45580000
83.54,0,0,0,24250000
93.92,1,1,0,17350000
147.48,2,2,2,25000000
112.88,3,2,2,22800000
211.53,3,2,2,12508727
126.58,2,2,1,20450000
126.61,2,2,1,20420000
201.51,3,2,2,33468500
240.41,3,2,2,38300000
105.03,0,0,0,27300000
109.63,3,2,2,17000000
194.15,4,2,2,39500000
126.54,3,2,2,25200000
415.11,3,2,4,155000000
535.75,3,2,4,200000000
126.52,2,2,1,21900000
259.75,4,1,2,49000000
133.96,2,2,2,12800000
103.66,3,2,2,14500000
351.81,17,0,0,93044237
109.16,3,2,2,12800000
74.92,3,2,1,8680000
226.81,4,2,2,22200000
175.36,3,2,2,30580000
83.7,2,2,1,12910000
47.02,1,1,1,8350000
265.81,4,2,3,35000000
52.1,3,1,1,7800000
104.34,3,2,1,6500000
243.33,2,2,3,50000000
94.55,3,2,1,13500000
96.94,3,2,2,6813156
133.6,3,2,2,23000000
37.61,1,1,1,11800000
74.3,2,2,1,21600000
50.34,0,1,1,10500000
40.42,0,0,0,2150000
140.83,3,2,2,15200000
149.49,3,2,1,19100000
55.04,1,1,1,13080000
78.51,2,2,2,14500000
137.39,3,2,2,28080000
144.96,3,2,2,29300000
105.24,3,2,2,13000000
110.9,2,2,2,21000000
125.84,1,1,1,31880000
106.11,1,1,1,27100000
141.9,6,4,3,38000000
76.7,2,2,1,16500000
104.67,3,2,2,16000000
145.58,3,2,2,30300000
48.77,2,1,1,8460000
49.49,1,1,1,11000000
96.26,3,2,2,14200000
0.01,0,0,0,1500000
123.86,4,2,2,28500000
62.75,2,1,1,11000000
198.02,2,2,2,36000000
160.06,3,2,1,23000000
0,0,0,0,40522
0,0,0,0,40522
0,0,0,0,20261
0,0,0,0,20261
0,0,0,0,20261
0,0,0,0,5065
0,0,0,0,5065
0,0,0,0,5065
76.74,3,0,3,15000000
25.87,1,1,1,2808000
122.21,3,2,2,24050000
51.42,1,1,1,12940000
355.68,3,3,3,45500000
123.43,2,2,1,16550000
45.21,1,1,1,10250000
114.7,2,2,1,14300000
231.87,3,2,2,27560000
82.98,2,2,1,10770000
231.87,4,2,2,30640000
248.78,4,2,2,33100000
211.91,2,2,3,60000000
42.96,1,1,1,3300000
248.71,4,2,2,33110000
119.73,2,2,1,14550000
33.12,0,0,0,2950000
96.77,2,2,1,28000000
60.56,2,1,2,6900000
216.9,3,2,2,23000000
0,0,0,0,32260000
78.36,3,1,1,11300000
78.36,3,1,1,9500000
68.26,2,1,1,3500000
95.4,0,0,0,48500000
67.11,2,1,1,14600000
64.8,3,2,1,8660000
131.91,3,2,2,23550000
366.81,0,0,0,78000000
92.05,2,1,1,19930000
48.05,0,0,0,13500000
102.13,3,2,2,9000000
30.55,1,1,1,11800000
388.28,4,2,2,86710000
386.31,4,2,2,86220000
0,0,0,0,1300000
68.29,2,1,1,11780000
84.8,3,2,1,14060000
91.6,0,0,0,5400000
340.1,0,0,0,110100000
35.84,0,0,0,1800000
59.04,1,1,1,10450000
92.35,1,2,1,22800000
0,0,0,0,13223161
256.16,3,2,2,42500000
152.63,3,2,2,29500000
0,0,0,0,6061550
735.7,0,0,0,131671244
720.91,0,0,0,127625113
267.11,2,1,1,17500000
218,3,2,2,43000000
165.48,3,2,2,25500000
125.68,3,2,2,20350000
199.03,4,2,4,11100000
52.65,1,1,1,7500000
0,0,0,0,8167500
78.81,3,3,3,15000000
223.78,3,2,2,34850000
183.66,5,2,3,17550000
39.12,0,0,0,2000000
52.58,1,1,1,10500000
102.15,6,0,6,11750000
106.94,3,2,2,14800000
54.51,1,1,1,9400000
11.94,0,0,0,1400000
95.04,3,2,2,12200000
245.55,3,2,2,49500000
95.99,3,2,1,7700000
251.61,0,0,0,127000000
114.61,2,2,2,25000000
51.01,1,1,1,8230000
85.35,2,1,1,12100000
137.25,4,2,2,16000000
94.12,4,2,1,11380000
126.53,2,2,1,14550000
99.28,3,2,1,13000000
72.86,2,2,1,8880000
56.6,2,1,1,7250000
154.31,3,2,2,22000000
821.99,0,0,3,228000000
178.02,1,2,1,16300000
99.36,3,2,2,12000000
106.79,3,1,2,5050000
55.15,0,0,0,7500000
88.8,3,2,2,15100000
166.54,3,2,2,30580000
164.14,3,2,2,30620000
111.5,2,2,1,19270000
82.97,1,1,1,15220000
111.57,2,2,1,20000000
58.31,1,1,1,12200000
78.76,2,1,2,10400000
213.14,2,2,2,31000000
40.3,1,1,1,9300000
98.51,3,2,2,17580000
262.69,4,0,0,50000000
87.15,5,0,5,12350000
124.01,3,2,2,17200000
111.41,2,1,1,19500000
63.4,2,2,1,9600000
137.38,3,2,2,19000000
104.47,0,0,0,22000000
240.17,0,0,0,72120000
210.36,0,0,0,65030000
215.27,0,0,0,68200000
36.67,1,0,1,8680000
358.34,3,2,3,77500000
28.07,3,2,2,3200000
106.51,2,2,1,26500000
63.38,1,1,1,12600000
25.62,0,0,0,1800000
97.27,2,2,1,29300000
77.35,2,2,1,22200000
213.97,3,2,2,42800000
25.09,1,1,1,3800000
89.27,3,2,1,12880000
102.92,3,2,2,10880000
0,0,0,0,6143000
42.14,1,1,1,5000000
302.76,3,2,2,61110000
73.31,2,1,1,3000000
0,0,0,0,23000000
255.7,2,1,2,131000000
76.19,1,1,1,16300000
48.28,0,0,0,5080000
102.18,4,2,2,19000000
330.99,3,2,3,54304000
83.57,3,2,2,25200000
127.26,0,0,0,135000000
0,0,0,0,114448057
84.68,3,2,2,11200000
133.8,3,2,2,15000000
103.98,3,2,2,20000000
190.81,3,2,2,11000000
131.92,4,0,4,13500000
88.82,4,2,1,26000000
286.42,0,1,0,63800000
92.4,2,2,1,18000000
69.55,3,1,3,6000000
104.5,3,2,2,17150000
265.38,0,1,0,59400000
136.74,4,1,2,28880000
890.23,0,2,2,243800000
136.19,0,1,1,90000000
52.64,5,2,2,11100000
269.32,4,2,2,48000000
81.48,2,1,1,26800000
100.58,2,2,2,27080000
105.72,3,1,2,24200000
149.44,4,3,1,21000000
100.08,3,2,2,15500000
133.66,4,2,2,30500000
0,0,0,0,9485309
1470.17,0,0,0,30000000
574.88,7,2,6,90000000
20.27,0,0,0,6400000
109.95,3,2,2,8500000
141.65,5,3,3,30080000
86.57,3,2,1,15500000
85.02,1,1,1,20300000
92.64,3,2,1,11000000
32.79,1,0,1,5600000
45.62,2,1,1,6250000
7.45,3,2,1,1052040
80.52,3,2,1,10500000
127.14,3,2,2,18000000
129.25,3,2,2,27350000
213.7,5,2,2,64640000
43.28,2,1,1,11680000
25.73,1,1,1,10400000
48.18,1,1,1,9500000
38.16,0,0,0,2100000
245.16,4,2,2,53000000
183.95,3,2,2,42000000
0,0,0,0,10410000
91.89,3,1,1,5900000
35.31,0,0,0,2800000
35.24,0,0,0,2600000
35.31,0,0,0,2610000
35.24,0,0,0,2590000
149.64,0,0,0,7400000
0,0,0,0,30500000
339.37,4,2,3,63700000
70.98,2,2,1,12160000
269.54,4,2,2,42600000
269.54,4,2,2,42580000
269.54,4,2,2,42200000
209.04,3,2,2,33700000
279.32,3,2,2,41070000
240.41,3,2,2,36720000
240.41,3,2,2,36750000
0,0,0,0,2700000
154.84,3,2,1,22250000
240.41,3,2,2,39770000
51.52,1,1,1,9000000
98.63,2,1,1,17000000
57.49,1,1,1,10180000
65.04,1,1,1,11420000
161.02,3,2,2,28500000
106.62,3,2,2,18700000
118.75,2,2,1,23250000
88.52,2,2,1,15000000
63.35,1,1,1,15880000
78.47,3,2,2,12000000
114.39,2,1,1,14410000
360.69,3,2,2,75000000
93.26,3,2,2,11800000
93.61,2,1,1,33560000
146.32,0,0,0,34280000
191.09,3,2,2,32000000
69.23,1,1,1,14000000
70.23,2,1,1,12210000
70.23,2,2,1,10800000
85.39,3,2,1,10500000
229.42,4,2,3,35000000
0.98,0,0,0,950000
70.67,3,2,1,10000000
84.69,2,1,1,13990000
40.45,1,1,1,5000000
177.35,0,3,2,34000000
117.01,2,2,1,16450000
546.82,4,2,4,140340000
92.86,0,0,0,11500000
539.09,5,2,4,104400000
64.89,1,1,1,15650000
34.15,1,1,1,7800000
75.55,1,1,1,14500000
40.95,1,1,1,9250000
42.76,1,1,1,9380000
52.72,1,1,1,10200000
64.01,1,1,1,14800000
127.63,4,2,2,16500000
33.82,0,1,1,3300000
120.8,2,1,1,29360000
120.65,2,1,1,27800000
37.4,1,1,1,12210000
75.9,5,2,2,8000000
0,0,0,0,301284
99.42,3,2,2,12000000
104.16,0,0,0,21000000
78.74,2,1,1,2000000
190.09,3,2,2,28000000
135.16,2,2,1,18700000
41.06,2,1,1,6500000
112.1,4,1,1,11660000
138.19,3,2,2,12800000
